Vezejas;Duomenu pateikimo data;Pakelimai uz diena;Pakelimu sk.
Ecoservice;2019-03-04;2019-02-01;148
Ecoservice;2019-03-04;2019-02-02;211
Ecoservice;2019-03-04;2019-02-03;153
Ecoservice;2019-03-04;2019-02-07;1
Ecoservice;2019-03-04;2019-02-08;4
Ecoservice;2019-03-04;2019-03-02;855
Ecoservice;2019-03-04;2019-03-03;2102
Ekonovus;2019-03-04;2019-01-31;1
Ekonovus;2019-03-04;2019-02-04;1
Ekonovus;2019-03-04;2019-02-05;1
Ekonovus;2019-03-04;2019-02-06;3
Ekonovus;2019-03-04;2019-02-07;2
Ekonovus;2019-03-04;2019-02-11;3
Ekonovus;2019-03-04;2019-02-12;2
Ekonovus;2019-03-04;2019-02-13;2
Ekonovus;2019-03-04;2019-02-14;5
Ekonovus;2019-03-04;2019-02-15;3
Ekonovus;2019-03-04;2019-02-18;7
Ekonovus;2019-03-04;2019-02-19;8
Ekonovus;2019-03-04;2019-02-20;14
Ekonovus;2019-03-04;2019-02-21;11
Ekonovus;2019-03-04;2019-02-22;7
Ekonovus;2019-03-04;2019-02-23;2
Ekonovus;2019-03-04;2019-02-25;12
Ekonovus;2019-03-04;2019-02-26;7
Ekonovus;2019-03-04;2019-02-27;7
Ekonovus;2019-03-04;2019-02-28;83
Ekonovus;2019-03-04;2019-03-01;173
Ekonovus;2019-03-04;2019-03-02;95
Ekonovus;2019-03-04;2019-03-04;1187
VSA Vilnius;2019-03-04;2019-03-04;1695
